tier,source_id,cab,file,size
highest-quality,,,animation_recovery_report.json,1298639
highest-quality,102847481,CAB-00e8dae3c8695a5fec36908196b88b5a,-8503893327316144235.npz,64785
highest-quality,102847481,CAB-00e8dae3c8695a5fec36908196b88b5a,-929057884553090256.npz,340872
highest-quality,102847481,CAB-1c77d52a1225dc8eb72e210ec8ff54f5,-5487044827770026367.npz,1334603
highest-quality,102847481,CAB-1c77d52a1225dc8eb72e210ec8ff54f5,4158058185425734256.npz,236463
highest-quality,102847481,CAB-5429044575e0ff50fab2b8b898ad357d,6889733307893748972.npz,2398806
highest-quality,102847481,CAB-5429044575e0ff50fab2b8b898ad357d,7807589847472477599.npz,445574
highest-quality,102847481,CAB-8a2af431202af655544c1f6939a6e526,-5724022541439689088.npz,1196305
highest-quality,102847481,CAB-8a2af431202af655544c1f6939a6e526,-6889905996062850525.npz,201045
highest-quality,102847481,CAB-8a2af431202af655544c1f6939a6e526,3246741233040945598.npz,1035038
highest-quality,102847481,CAB-8a2af431202af655544c1f6939a6e526,7520176871862997284.npz,240227
highest-quality,102847481,CAB-9af1ea5d8a69568e15a5ea4b98240113,-1644446915680665024.npz,1689906
highest-quality,102847481,CAB-9af1ea5d8a69568e15a5ea4b98240113,485121230454011730.npz,101580
highest-quality,102847481,CAB-9af1ea5d8a69568e15a5ea4b98240113,521717370930988612.npz,309354
highest-quality,102847481,CAB-9af1ea5d8a69568e15a5ea4b98240113,5225909447599136991.npz,554234
highest-quality,102847481,CAB-a6983a3896095e5d0d0ca7300e520f51,-4405432581584559684.npz,949625
highest-quality,102847481,CAB-a6983a3896095e5d0d0ca7300e520f51,-8803156122219701776.npz,359373
highest-quality,102847481,CAB-a6983a3896095e5d0d0ca7300e520f51,4633368758962200941.npz,186730
highest-quality,102847481,CAB-a6983a3896095e5d0d0ca7300e520f51,8462630438214950599.npz,1996652
highest-quality,102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,-8290319353614040747.npz,216893
highest-quality,102847481,CAB-b618c17e0ed2d6f851f86ae5aef2ecd2,2420885211496853281.npz,1126010
highest-quality,102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,-5433537715502596119.npz,358852
highest-quality,102847481,CAB-cbb7d42202fed0705a9c77c2ef34be2a,8521723471483421154.npz,2193762
highest-quality,1186972585,CAB-025ec63081710535a751715600ae5afc,1539313848409567955.npz,201185
highest-quality,1186972585,CAB-025ec63081710535a751715600ae5afc,6811696467375545514.npz,1200319
highest-quality,1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,-4642342276331182895.npz,297471
highest-quality,1186972585,CAB-611b1b8a6d2293f56d406ad34f154181,-5130596990700648998.npz,1200787
highest-quality,1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,-4170381540393360754.npz,992976
highest-quality,1186972585,CAB-69f28d52a67ea219a2c69ad5a7ac4d06,-4412330399154329950.npz,256364
highest-quality,1186972585,CAB-6db348098761db4032082455b032f42f,1253384568466234109.npz,1249280
highest-quality,1186972585,CAB-6db348098761db4032082455b032f42f,2555431876738953443.npz,304265
highest-quality,1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,2045774491675328414.npz,210439
highest-quality,1186972585,CAB-977e42edf66c0e48afb9bbc0b7490d91,5878337502696187076.npz,989707
highest-quality,1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,-2912069511717118028.npz,997116
highest-quality,1186972585,CAB-b239bb2c6995b6391056baf7e0580bba,1465532539227399683.npz,207135
highest-quality,1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,-8200816506748520153.npz,1011271
highest-quality,1186972585,CAB-bdb8d9e84a389a38d42a00e37b98ca22,472486514639819991.npz,222482
highest-quality,1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,-4696264967594137980.npz,1294946
highest-quality,1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,-5813938829306315185.npz,204507
highest-quality,1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,-1507456339828849665.npz,213167
highest-quality,1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,-3244033172409104278.npz,983299
highest-quality,1186972585,CAB-e89fce5b362afe40ee71e40798b09205,-992807101245387548.npz,239429
highest-quality,1186972585,CAB-e89fce5b362afe40ee71e40798b09205,2788974981811062752.npz,980775
highest-quality,1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,-5491137950491540181.npz,1109736
highest-quality,1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,3905988045497503854.npz,224475
highest-quality,1523850217,CAB-04e4af7419c482a635f72fa1ca258d42,8989496986587551793.npz,70836
highest-quality,1523850217,CAB-07ef025a1ca730fc6b7cdab602cfae19,-7859734431836772985.npz,88315
highest-quality,1523850217,CAB-0b10eb5048484095af52372785bdf153,-4130641420515559846.npz,123537
highest-quality,1523850217,CAB-0f97bf0a30419cdd53aebf87bc85f7f0,6580722672136368370.npz,92376
highest-quality,1523850217,CAB-10968be86815c2104d00211f7fbdda88,-6759752939614417531.npz,66952
highest-quality,1523850217,CAB-10968be86815c2104d00211f7fbdda88,3936000032070737572.npz,76056
highest-quality,1523850217,CAB-1849fe39cfa60809ce0f387f0526a2d3,1972841566982944910.npz,66324
highest-quality,1523850217,CAB-1f466002e215f70f8858419255e63b62,-6435327900545201723.npz,74756
highest-quality,1523850217,CAB-2cfe73fe8ecf9607ce69e288da13c32d,-4087193232744972234.npz,31118
highest-quality,1523850217,CAB-2cfe73fe8ecf9607ce69e288da13c32d,5273620667827153111.npz,77949
highest-quality,1523850217,CAB-304aa4d4e8a47c27396e4c78677d402d,6375438528676596695.npz,79143
highest-quality,1523850217,CAB-3359d7b33b146f286fd537a55785c74c,-2881933274264665742.npz,132874
highest-quality,1523850217,CAB-40a5d15767c840d457ad299d7197d261,-7875433444000694659.npz,123475
highest-quality,1523850217,CAB-4232d49fc14b028880a20705f18b2a75,2644980667515921557.npz,126912
highest-quality,1523850217,CAB-498338bc4096fd65ffd81badba402202,-3555870113992379841.npz,71116
highest-quality,1523850217,CAB-498338bc4096fd65ffd81badba402202,-6903300994333483617.npz,74505
highest-quality,1523850217,CAB-4ffcb0bc7eda79df0267fa31a619b457,-1969486077493927947.npz,130864
highest-quality,1523850217,CAB-50af935651124c0eb7a837399527305f,-2086817660766517078.npz,138557
highest-quality,1523850217,CAB-55e785702e8ecf60e9a29e785c3eb71c,-6953991387548681326.npz,166595
highest-quality,1523850217,CAB-5be24841a9a1f3c910be40c665b39b10,121531804778053132.npz,72417
highest-quality,1523850217,CAB-5eff061f8808ad30b53e5b5612181069,-5088587143379627752.npz,117774
highest-quality,1523850217,CAB-619f79d32da64d91304c1a531672738b,-1656722489883847159.npz,75321
highest-quality,1523850217,CAB-698201f549400e18fa7caa17f35017c1,7307114470387854560.npz,70193
highest-quality,1523850217,CAB-6a8b1b01b4cb715de99576d25cd6c2dc,-7504940210168695040.npz,20585
highest-quality,1523850217,CAB-6af25c81887fbcb6d1cf858538d27a63,-3628994143320135176.npz,125074
highest-quality,1523850217,CAB-6f27068b8859422ecd62e5b5be0885f1,1017477211783881926.npz,78341
highest-quality,1523850217,CAB-7472799b6ce60302c9766a2462e2528d,5560887246414865443.npz,78706
highest-quality,1523850217,CAB-752e8fe0e3fcd85b7adff385a0f97874,-8315336653619334883.npz,91798
highest-quality,1523850217,CAB-752e8fe0e3fcd85b7adff385a0f97874,678368150928868819.npz,84620
highest-quality,1523850217,CAB-79319d67b852d405749d025d53240717,-2121907366908414223.npz,117922
highest-quality,1523850217,CAB-796e34792e81342116e3887980f79e44,-8776362409554944054.npz,86169
highest-quality,1523850217,CAB-7baa6ca91b004c57563a1199551753d5,2134020514806175719.npz,76564
highest-quality,1523850217,CAB-7baa6ca91b004c57563a1199551753d5,2926518983236155192.npz,76657
highest-quality,1523850217,CAB-7c38049e2ff51e4d0e0c68d194fc253a,-6518441698820575275.npz,138489
highest-quality,1523850217,CAB-7cd551e162f6ed06c4b71106da96f4dc,8504739905493641752.npz,114880
highest-quality,1523850217,CAB-884e7e65a65ab40173f5345b37b0f517,-2352093389254818161.npz,97173
highest-quality,1523850217,CAB-884e7e65a65ab40173f5345b37b0f517,8156505608347191738.npz,30548
highest-quality,1523850217,CAB-8a08e9882a14fc838abf0113eba1b7f3,-2645361912310965306.npz,103706
highest-quality,1523850217,CAB-8c540054562db7edbd601ad9f9312fd0,4734551596987841323.npz,135079
highest-quality,1523850217,CAB-98d9079cd109170d572afb8511b86a0b,-5412887485860329321.npz,42938
highest-quality,1523850217,CAB-98d9079cd109170d572afb8511b86a0b,2990538837624449409.npz,31849
highest-quality,1523850217,CAB-9c533c0979b3e022f349fa506946b745,-3265296203472712284.npz,147478
highest-quality,1523850217,CAB-9d563c46975db1bfdab301bf8614f312,-3447199759255882351.npz,25382
highest-quality,1523850217,CAB-a0aa630adf112db6491b4ce613c65951,148087719974129614.npz,73031
highest-quality,1523850217,CAB-a0aa630adf112db6491b4ce613c65951,6622967762030173133.npz,55287
highest-quality,1523850217,CAB-a6527aa5d84bf5e232a827d9240574ce,-1155290675334462679.npz,101536
highest-quality,1523850217,CAB-a6527aa5d84bf5e232a827d9240574ce,5799038561787546060.npz,39316
highest-quality,1523850217,CAB-a823d6263a2a9559f85464c3370ed6a2,8867792996369793557.npz,101262
highest-quality,1523850217,CAB-a8a6b7f923fb70988e94cdd37346489b,-634271642169061373.npz,119041
highest-quality,1523850217,CAB-a8a6b7f923fb70988e94cdd37346489b,4421834620260399912.npz,59636
highest-quality,1523850217,CAB-ab1757a88896e229d07184875853c58c,2778352940527704367.npz,316453
highest-quality,1523850217,CAB-ab8aa7f478d9b1c5d296e46679442409,2086426869383369578.npz,82178
highest-quality,1523850217,CAB-ae6112767b4de944948ff3d9db0ef901,7162119520429048974.npz,121928
highest-quality,1523850217,CAB-b9d8018d23e2cb9d73ca084a0f2a20a3,-786566853111875148.npz,79487
highest-quality,1523850217,CAB-c79d6e50611fc9c8053126a906b2e78a,3892386236045217096.npz,75548
highest-quality,1523850217,CAB-cdd962c9f0fb76fd3077ee7f50825dd1,-453599638320599670.npz,104110
highest-quality,1523850217,CAB-cdd962c9f0fb76fd3077ee7f50825dd1,-5515147803904659855.npz,74561
highest-quality,1523850217,CAB-ce2c632735300d19082d603243d62c2e,-6628969260325167827.npz,188788
highest-quality,1523850217,CAB-dfca78e19214b67ae1b0e8e1beb37a63,-2371397975648665643.npz,94274
highest-quality,1523850217,CAB-dfca78e19214b67ae1b0e8e1beb37a63,-5836051886755954451.npz,62802
highest-quality,1523850217,CAB-e05267109b0d875623c52c4e76df2941,2457671196260810409.npz,111398
highest-quality,1523850217,CAB-e381a6dd36416c169752fb518b38e000,-869303386291863426.npz,66710
highest-quality,1523850217,CAB-e381a6dd36416c169752fb518b38e000,282829697858500702.npz,40789
highest-quality,1523850217,CAB-e5e86e8272aecca0023a3de0cf7adf3d,-1865633390978939768.npz,20453
highest-quality,1523850217,CAB-e5e86e8272aecca0023a3de0cf7adf3d,7019626000825424181.npz,109881
highest-quality,1523850217,CAB-e668327a20856d36e417d27c83a1a024,1212575651489049186.npz,142920
highest-quality,1523850217,CAB-fc25c3b03dc852e5b4d2ef81bdb29c83,-8882356081313299500.npz,82270
highest-quality,1523850217,CAB-fc33e3c3f318a0f1826dde90d1a4e1b3,-2234826315727283405.npz,48231
highest-quality,1523850217,CAB-fc33e3c3f318a0f1826dde90d1a4e1b3,4962035264147276382.npz,92141
highest-quality,166455023,CAB-ecd553c66a81e5a42fb13f88e9688494,-8967589269667655798.npz,2303508
highest-quality,166455023,CAB-ecd553c66a81e5a42fb13f88e9688494,749183524389434420.npz,455900
highest-quality,1704382549,CAB-032223020f5c723eefc3368416cbd5e1,515039831682801160.npz,580843
highest-quality,1704382549,CAB-0c8dba6ca843205d50751c0ff9b6a011,-5036785912351465611.npz,105720
highest-quality,1704382549,CAB-0fdb155c3dac8c9377342e63b566dbeb,1384830706564237703.npz,46621
highest-quality,1704382549,CAB-0fdb155c3dac8c9377342e63b566dbeb,5310189695225751449.npz,73200
highest-quality,1704382549,CAB-1110fe4280f6d46960a76fac015c7a88,-6787169860043975556.npz,91644
highest-quality,1704382549,CAB-1495f565ffb654275ce64a952b2df75f,5579212848912087808.npz,142697
highest-quality,1704382549,CAB-154858aa4c50c4f2451005d9c5dea10e,2002140185024447925.npz,107695
highest-quality,1704382549,CAB-1d42c3fa80fef6ccf27a3f523864b743,8617459412162619682.npz,587293
highest-quality,1704382549,CAB-223b072e96a33570f5b5f721a11623e9,7375287920953694611.npz,29353
highest-quality,1704382549,CAB-23f2c4f148dded48267120de5530f67d,568624441380478596.npz,132125
highest-quality,1704382549,CAB-312fe475e3415d379846d064fcaf8957,-6389968001128065014.npz,657289
highest-quality,1704382549,CAB-3391fd3ab2e2b669a798e97e5267c232,-6260324507213880840.npz,106902
highest-quality,1704382549,CAB-347a0d15bc1f1c0d4896dcb2f199cfe1,377070469331215385.npz,109178
highest-quality,1704382549,CAB-3e9fe04d4932ad03a2b4da5d13fc1f2b,-5377426071181693287.npz,93906
highest-quality,1704382549,CAB-3fc2c0af41ac3b44254823ea9e48e284,6650659754387199229.npz,92259
highest-quality,1704382549,CAB-46f5c52613b243a526e08069a4af4b96,-2178446478776927915.npz,577113
highest-quality,1704382549,CAB-6c136a6d1a38193b7e9d6f87f99d068d,-5177117304079189082.npz,95490
highest-quality,1704382549,CAB-6e5d453e780c35fe61c652d54d7c0b19,8242360160143665182.npz,99215
highest-quality,1704382549,CAB-747bbac80ad77b06c011f492b9d3801e,-3040720397802887349.npz,137465
highest-quality,1704382549,CAB-81243191e7fe4a55ce27ee0ca65b512e,-5793928149087727708.npz,118761
