domain,entry,files,bytes
effects,effect-assets,1921,123735273
effects,effect-components-parsed,1416,1739348
effects,effect-components-typed,848,27635365
effects,effect-cubemaps,3,658150
effects,effect-dependencies-raw,3470,372676885
effects,effect-dependency-context,2,925415
effects,effect-dependency-pptr-final,3,1058046
effects,effect-dependency-typed-final,736,13908470
effects,effect-lensflare-textures,25,970769
effects,effect-materials,1630,26379640
effects,effect-napsim-pptr-final,3,168682771
effects,effect-napsim-typed-final,23399,101593547
effects,effect-other-mb-typed-final,5646,37179419
effects,effect-owner-raw,123768,232074247
effects,effect-p0c1-legacy,695,12919217
effects,effect-particle-renderer-materials,37,452240
effects,effect-textures,785,290649229
timeline,mainmenu-playable-directors,19,342
timeline,mainmenu-playable-directors-raw,19,5800
timeline,mainmenu-timeline-animationclips,21,147651
timeline,timeline-clip-pptr-final,3,39918
timeline,timeline-clip-raw,30,25973
timeline,timeline-clip-typed-final,30,85919
